-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    2 ;   1 ;  40.00 ;  1 ; SE            ;    50123.4 ;   3952.0 ;  3242.70 ;   393.00 ; 39078.16 ;    10.63 ;     0.00 ;     0.00 ;    5581.16 ;  4000.00 ;  6300.00 ;     0.00 ;  17052.1 ;      88726.55 ;    43.42 ;      95335.80 ;    46.66 ;   97.83 ;
   2 ;    2 ;   2 ;  46.00 ;  1 ; SE            ;    47100.0 ;   3952.0 ;  3244.70 ;   393.00 ; 35438.81 ;   115.60 ;     0.00 ;     0.00 ;    6252.09 ;  2196.50 ;  7000.00 ;     0.00 ;  17052.1 ;      88726.55 ;    43.42 ;      95335.80 ;    46.66 ;   96.52 ;
   2 ;    2 ;   3 ;  82.00 ;  1 ; SE            ;    38308.2 ;   3952.0 ;  2705.70 ;   393.00 ; 26419.02 ;   115.60 ;     0.00 ;     0.00 ;    6590.08 ;  1900.00 ;  6676.54 ;     0.00 ;  17052.1 ;      88726.55 ;    43.42 ;      95335.80 ;    46.66 ;   90.72 ;
   2 ;    2 ;  -  ;   -    ;  1 ; SE            ;    43528.6 ;   3952.0 ;  2981.14 ;   393.00 ; 31902.80 ;    90.61 ;     0.00 ;     0.00 ;    6257.32 ;  2481.18 ;  6675.46 ;     0.00 ;  17052.1 ;      88726.55 ;    43.42 ;      95335.80 ;    46.66 ;   94.00 ;
   2 ;    2 ;   1 ;  40.00 ;  2 ; S             ;    17100.8 ;   1773.0 ;   665.00 ;     0.00 ;  5412.52 ;     0.00 ;     0.00 ;     0.00 ;    9250.28 ;    -     ;    -     ;     0.00 ;   1082.0 ;       5320.56 ;    26.74 ;       5784.82 ;    29.07 ;   97.83 ;
   2 ;    2 ;   2 ;  46.00 ;  2 ; S             ;    15162.6 ;   1773.0 ;   665.00 ;     0.00 ;  3709.69 ;     0.00 ;     0.00 ;     0.00 ;    9014.91 ;    -     ;    -     ;     0.00 ;   1082.0 ;       5320.56 ;    26.74 ;       5784.82 ;    29.07 ;   96.52 ;
   2 ;    2 ;   3 ;  82.00 ;  2 ; S             ;    11786.0 ;   1773.0 ;   665.00 ;     0.00 ;  1634.54 ;     0.00 ;     0.00 ;     0.00 ;    7713.46 ;    -     ;    -     ;     0.00 ;   1082.0 ;       5320.56 ;    26.74 ;       5784.82 ;    29.07 ;   90.72 ;
   2 ;    2 ;  -  ;   -    ;  2 ; S             ;    13976.0 ;   1773.0 ;   665.00 ;     0.00 ;  3102.26 ;     0.00 ;     0.00 ;     0.00 ;    8435.72 ;    -     ;    -     ;     0.00 ;   1082.0 ;       5320.56 ;    26.74 ;       5784.82 ;    29.07 ;   94.00 ;
   2 ;    2 ;   1 ;  40.00 ;  3 ; NE            ;    13169.1 ;   4382.0 ;   399.20 ;     0.00 ;  3919.35 ;     0.00 ;     0.00 ;     0.00 ;    4468.55 ;    -     ;    -     ;     0.00 ;   2001.5 ;      30374.16 ;    58.86 ;      31078.72 ;    60.22 ;   97.83 ;
   2 ;    2 ;   2 ;  46.00 ;  3 ; NE            ;    12741.6 ;   4382.0 ;   399.20 ;     0.00 ;  3227.40 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   2001.5 ;      30374.16 ;    58.86 ;      31078.72 ;    60.22 ;   97.83 ;
