-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   3 ;    3 ;   2 ;  46.00 ;  2 ; S             ;    14575.3 ;   1773.0 ;   665.00 ;     0.00 ;  2547.37 ;     0.00 ;     0.00 ;     0.00 ;    9589.93 ;    -     ;    -     ;     0.00 ;    776.3 ;       5157.36 ;    25.92 ;       5448.34 ;    27.38 ;  101.05 ;
   3 ;    3 ;   3 ;  82.00 ;  2 ; S             ;    11329.5 ;   1773.0 ;   665.00 ;     0.00 ;  1562.09 ;     0.00 ;     0.00 ;     0.00 ;    7329.41 ;    -     ;    -     ;     0.00 ;    776.3 ;       5157.36 ;    25.92 ;       5448.34 ;    27.38 ;   94.97 ;
   3 ;    3 ;  -  ;   -    ;  2 ; S             ;    13434.6 ;   1773.0 ;   665.00 ;     0.00 ;  2423.23 ;     0.00 ;     0.00 ;     0.00 ;    8573.41 ;    -     ;    -     ;     0.00 ;    776.3 ;       5157.36 ;    25.92 ;       5448.34 ;    27.38 ;   98.49 ;
   3 ;    3 ;   1 ;  40.00 ;  3 ; NE            ;    13096.4 ;   4382.0 ;   399.20 ;     0.00 ;  4089.12 ;     0.00 ;     0.00 ;     0.00 ;    4226.08 ;    -     ;    -     ;     0.00 ;   1964.2 ;      31060.08 ;    60.19 ;      32993.24 ;    63.93 ;  102.77 ;
   3 ;    3 ;   2 ;  46.00 ;  3 ; NE            ;    12671.3 ;   4382.0 ;   399.20 ;     0.00 ;  3157.10 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   1964.2 ;      31060.08 ;    60.19 ;      32993.24 ;    63.93 ;  102.76 ;
   3 ;    3 ;   3 ;  82.00 ;  3 ; NE            ;    10979.2 ;   4382.0 ;   399.20 ;     0.00 ;  2125.00 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   1964.2 ;      31060.08 ;    60.19 ;      32993.24 ;    63.93 ;  102.02 ;
   3 ;    3 ;  -  ;   -    ;  3 ; NE            ;    11946.6 ;   4382.0 ;   399.20 ;     0.00 ;  2875.25 ;     0.00 ;     0.00 ;     0.00 ;    4290.16 ;    -     ;    -     ;     0.00 ;   1964.2 ;      31060.08 ;    60.19 ;      32993.24 ;    63.93 ;  102.40 ;
   3 ;    3 ;   1 ;  40.00 ;  4 ; N             ;     6166.1 ;    490.0 ;   650.50 ;     0.00 ; 18025.60 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3630.6 ;       9208.40 ;    61.10 ;      10515.58 ;    69.77 ;    0.00 ;
   3 ;    3 ;   2 ;  46.00 ;  4 ; N             ;     6119.8 ;    490.0 ;   650.50 ;     0.00 ; 17979.30 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3630.6 ;       9208.40 ;    61.10 ;      10515.58 ;    69.77 ;    0.00 ;
   3 ;    3 ;   3 ;  82.00 ;  4 ; N             ;     5572.8 ;    490.0 ;   650.50 ;     0.00 ; 16132.30 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   3630.6 ;       9208.40 ;    61.10 ;      10515.58 ;    69.77 ;    0.00 ;
   3 ;    3 ;  -  ;   -    ;  4 ; N             ;     5863.8 ;    490.0 ;   650.50 ;     0.00 ; 17088.81 ;     0.00 ;     0.00 ;     0.00 ;  -12365.48 ;    -     ;    -     ;     0.00 ;   3630.6 ;       9208.40 ;    61.10 ;      10515.58 ;    69.77 ;    0.00 ;
   3 ;    3 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   4 ;    4 ;   1 ;  40.00 ;  1 ; SE            ;    48805.6 ;   3952.0 ;  3242.70 ;   393.00 ; 38103.34 ;    31.73 ;     0.00 ;     0.00 ;    5259.29 ;  4000.00 ;  6300.00 ;     0.00 ;  16393.2 ;     101715.80 ;    49.78 ;     108214.78 ;    52.96 ;  101.62 ;
   4 ;    4 ;   2 ;  46.00 ;  1 ; SE            ;    45861.6 ;   3952.0 ;  3244.70 ;   393.00 ; 34188.35 ;   115.60 ;     0.00 ;     0.00 ;    6264.15 ;  2060.43 ;  7000.00 ;     0.00 ;  16393.2 ;     101715.80 ;    49.78 ;     108214.78 ;    52.96 ;  100.65 ;
   4 ;    4 ;   3 ;  82.00 ;  1 ; SE            ;    37301.0 ;   3952.0 ;  3235.70 ;   393.00 ; 25811.37 ;   115.60 ;     0.00 ;     0.00 ;    5660.53 ;  1900.00 ;  4897.43 ;     0.00 ;  16393.2 ;     101715.80 ;    49.78 ;     108214.78 ;    52.96 ;   94.60 ;
   4 ;    4 ;  -  ;   -    ;  1 ; SE            ;    42384.2 ;   3952.0 ;  3239.83 ;   393.00 ; 31031.72 ;    95.63 ;     0.00 ;     0.00 ;    5730.28 ;  2443.93 ;  5807.08 ;     0.00 ;  16393.2 ;     101715.80 ;    49.78 ;     108214.78 ;    52.96 ;   97.93 ;
   4 ;    4 ;   1 ;  40.00 ;  2 ; S             ;    15776.0 ;   1773.0 ;   665.00 ;     0.00 ;  3861.71 ;     0.00 ;     0.00 ;     0.00 ;    9476.29 ;    -     ;    -     ;     0.00 ;    769.6 ;       5448.34 ;    27.38 ;       5740.86 ;    28.85 ;  101.62 ;
   4 ;    4 ;   2 ;  46.00 ;  2 ; S             ;    13987.9 ;   1773.0 ;   665.00 ;     0.00 ;  2547.05 ;     0.00 ;     0.00 ;     0.00 ;    9002.85 ;    -     ;    -     ;     0.00 ;    769.6 ;       5448.34 ;    27.38 ;       5740.86 ;    28.85 ;  100.65 ;
   4 ;    4 ;   3 ;  82.00 ;  2 ; S             ;    10872.9 ;   1773.0 ;   665.00 ;     0.00 ;  1571.01 ;     0.00 ;     0.00 ;     0.00 ;    6863.89 ;    -     ;    -     ;     0.00 ;    769.6 ;       5448.34 ;    27.38 ;       5740.86 ;    28.85 ;   94.60 ;
   4 ;    4 ;  -  ;   -    ;  2 ; S             ;    12893.2 ;   1773.0 ;   665.00 ;     0.00 ;  2383.66 ;     0.00 ;     0.00 ;     0.00 ;    8071.56 ;    -     ;    -     ;     0.00 ;    769.6 ;       5448.34 ;    27.38 ;       5740.86 ;    28.85 ;   97.93 ;
