-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    2 ;   3 ;  82.00 ;  1 ; SE            ;    38308.2 ;   3952.0 ;  3235.70 ;   393.00 ; 28792.13 ;   115.60 ;     0.00 ;     0.00 ;    3686.97 ;  1900.00 ;  3987.95 ;     0.00 ;  16381.0 ;      87454.07 ;    42.80 ;      93198.79 ;    45.61 ;  108.75 ;
   2 ;    2 ;  -  ;   -    ;  1 ; SE            ;    43528.6 ;   3952.0 ;  3239.83 ;   393.00 ; 33825.04 ;    95.35 ;     0.00 ;     0.00 ;    4081.14 ;  2290.58 ;  5265.64 ;     0.00 ;  16381.0 ;      87454.07 ;    42.80 ;      93198.79 ;    45.61 ;  112.09 ;
   2 ;    2 ;   1 ;  40.00 ;  2 ; S             ;    17100.8 ;   1773.0 ;   665.00 ;     0.00 ;  4162.80 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    468.6 ;       4812.25 ;    24.19 ;       4839.66 ;    24.32 ;  142.33 ;
   2 ;    2 ;   2 ;  46.00 ;  2 ; S             ;    15162.6 ;   1773.0 ;   665.00 ;     0.00 ;  2224.60 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    468.6 ;       4812.25 ;    24.19 ;       4839.66 ;    24.32 ;  136.83 ;
   2 ;    2 ;   3 ;  82.00 ;  2 ; S             ;    11786.0 ;   1773.0 ;   665.00 ;     0.00 ;  1420.02 ;     0.00 ;     0.00 ;     0.00 ;    7927.98 ;    -     ;    -     ;     0.00 ;    468.6 ;       4812.25 ;    24.19 ;       4839.66 ;    24.32 ;  108.75 ;
   2 ;    2 ;  -  ;   -    ;  2 ; S             ;    13976.0 ;   1773.0 ;   665.00 ;     0.00 ;  2293.36 ;     0.00 ;     0.00 ;     0.00 ;    9244.61 ;    -     ;    -     ;     0.00 ;    468.6 ;       4812.25 ;    24.19 ;       4839.66 ;    24.32 ;  124.43 ;
   2 ;    2 ;   1 ;  40.00 ;  3 ; NE            ;    13169.1 ;   4382.0 ;   399.20 ;     0.00 ;  4097.99 ;     0.00 ;     0.00 ;     0.00 ;    4289.91 ;    -     ;    -     ;     0.00 ;   2086.8 ;      30341.95 ;    58.80 ;      31224.21 ;    60.51 ;  115.70 ;
   2 ;    2 ;   2 ;  46.00 ;  3 ; NE            ;    12741.6 ;   4382.0 ;   399.20 ;     0.00 ;  3227.40 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   2086.8 ;      30341.95 ;    58.80 ;      31224.21 ;    60.51 ;  115.69 ;
   2 ;    2 ;   3 ;  82.00 ;  3 ; NE            ;    11040.1 ;   4382.0 ;   399.20 ;     0.00 ;  2185.90 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   2086.8 ;      30341.95 ;    58.80 ;      31224.21 ;    60.51 ;  114.44 ;
   2 ;    2 ;  -  ;   -    ;  3 ; NE            ;    12012.9 ;   4382.0 ;   399.20 ;     0.00 ;  2926.33 ;     0.00 ;     0.00 ;     0.00 ;    4305.36 ;    -     ;    -     ;     0.00 ;   2086.8 ;      30341.95 ;    58.80 ;      31224.21 ;    60.51 ;  115.08 ;
