-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    2 ;   1 ;  40.00 ;  1 ; SE            ;    50123.4 ;   3952.0 ;  3242.70 ;   393.00 ; 40313.22 ;    30.56 ;     0.00 ;     0.00 ;    4366.04 ;  4000.00 ;  6300.00 ;     0.00 ;  17227.7 ;      88480.44 ;    43.30 ;      95070.37 ;    46.53 ;  102.96 ;
   2 ;    2 ;   2 ;  46.00 ;  1 ; SE            ;    47100.0 ;   3952.0 ;  3244.70 ;   393.00 ; 36923.90 ;   115.60 ;     0.00 ;     0.00 ;    4767.00 ;  2903.60 ;  7000.00 ;     0.00 ;  17227.7 ;      88480.44 ;    43.30 ;      95070.37 ;    46.53 ;  101.24 ;
   2 ;    2 ;   3 ;  82.00 ;  1 ; SE            ;    38308.2 ;   3952.0 ;  3235.70 ;   393.00 ; 27467.93 ;   115.60 ;     0.00 ;     0.00 ;    5011.17 ;  1900.00 ;  5144.62 ;     0.00 ;  17227.7 ;      88480.44 ;    43.30 ;      95070.37 ;    46.53 ;   95.15 ;
   2 ;    2 ;  -  ;   -    ;  1 ; SE            ;    43528.6 ;   3952.0 ;  3239.83 ;   393.00 ; 33115.47 ;    95.35 ;     0.00 ;     0.00 ;    4790.71 ;  2674.79 ;  5927.73 ;     0.00 ;  17227.7 ;      88480.44 ;    43.30 ;      95070.37 ;    46.53 ;   98.68 ;
   2 ;    2 ;   1 ;  40.00 ;  2 ; S             ;    17100.8 ;   1773.0 ;   665.00 ;     0.00 ;  4162.80 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    644.4 ;       4988.60 ;    25.07 ;       5161.19 ;    25.94 ;  103.87 ;
   2 ;    2 ;   2 ;  46.00 ;  2 ; S             ;    15162.6 ;   1773.0 ;   665.00 ;     0.00 ;  2224.60 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    644.4 ;       4988.60 ;    25.07 ;       5161.19 ;    25.94 ;  101.54 ;
   2 ;    2 ;   3 ;  82.00 ;  2 ; S             ;    11786.0 ;   1773.0 ;   665.00 ;     0.00 ;  1587.55 ;     0.00 ;     0.00 ;     0.00 ;    7760.45 ;    -     ;    -     ;     0.00 ;    644.4 ;       4988.60 ;    25.07 ;       5161.19 ;    25.94 ;   95.15 ;
   2 ;    2 ;  -  ;   -    ;  2 ; S             ;    13976.0 ;   1773.0 ;   665.00 ;     0.00 ;  2375.14 ;     0.00 ;     0.00 ;     0.00 ;    9162.84 ;    -     ;    -     ;     0.00 ;    644.4 ;       4988.60 ;    25.07 ;       5161.19 ;    25.94 ;   98.98 ;
   2 ;    2 ;   1 ;  40.00 ;  3 ; NE            ;    13169.1 ;   4382.0 ;   399.20 ;     0.00 ;  3953.94 ;     0.00 ;     0.00 ;     0.00 ;    4433.96 ;    -     ;    -     ;     0.00 ;   2204.9 ;      30366.36 ;    58.84 ;      31265.76 ;    60.59 ;  102.96 ;
   2 ;    2 ;   2 ;  46.00 ;  3 ; NE            ;    12741.6 ;   4382.0 ;   399.20 ;     0.00 ;  3227.40 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   2204.9 ;      30366.36 ;    58.84 ;      31265.76 ;    60.59 ;  102.95 ;
