
 CEPEL                       MODELO DE GERACAO DE SERIES SINTETICAS DE VAZOES E ENERGIAS - GEVAZP                    VERSAO  8_L                                     
                                                                                                                           PAG.   1
 PROGRAMA LICENCIADO PARA COMPASS COMERCIALIZADORA DE ENERGIA ELETRICA LTDA                                                                                                     
 -----------------------------------------------------------------------------------------------------------------------------------
 DATA : 17-02-2020 HORA :  20:34:54 CASO :     PMO - MARCO/20 - ABR/20 - REV 0 - FCF COM CVAR - 12 REE - VALOR ES
 -----------------------------------------------------------------------------------------------------------------------------------
             ,JAN               ,FEV               ,MAR               ,ABR               ,MAI               ,JUN               ,JUL               ,AGO               ,SET               ,OUT               ,NOV               ,DEZ               ,
 P. ESTRELA  ,      299.78409091,      244.22727273,      217.93181818,      164.32954545,      118.03409091,       96.86363636,       82.25000000,       71.37500000,       68.57954545,       87.25000000,      164.47727273,      262.35227273,
 CANDONGA    ,      264.15909091,      223.96590909,      201.32954545,      155.30681818,      119.52272727,      104.38636364,       93.14772727,       83.62500000,       83.12500000,       97.56818182,      143.42045455,      225.37500000,
 BAGUARI     ,     1015.06818182,      829.60227273,      734.38636364,      573.68181818,      430.26136364,      365.81818182,      323.52272727,      289.76136364,      281.71590909,      338.34090909,      547.56818182,      887.44318182,
 AIMORES     ,     1558.45454545,     1219.79545455,     1071.84090909,      827.29545455,      601.64772727,      504.47727273,      446.01136364,      396.60227273,      381.95454545,      476.21590909,      812.25000000,     1373.05681818,
 MASCARENHAS ,     1815.14772727,     1415.69318182,     1243.27272727,      959.37500000,      697.12500000,      582.38636364,      514.18181818,      455.75000000,      437.62500000,      547.80681818,      942.46590909,     1599.85227273,
 IRAPE       ,      334.38636364,      228.97727273,      204.87500000,      128.54545455,       68.01136364,       51.06818182,       42.25000000,       35.12500000,       33.88636364,       64.82954545,      193.88636364,      346.28409091,
 SAO DOMINGOS,      150.70454545,      155.72727273,      151.54545455,      133.35227273,      123.50000000,      114.81818182,      109.15909091,      105.32954545,      108.00000000,      113.84090909,      117.76136364,      132.68181818,
 ITAPEBI     ,      794.01136364,      586.87500000,      480.62500000,      330.95454545,      200.62500000,      159.37500000,      134.62500000,      113.80681818,      103.52272727,      164.42045455,      455.38636364,      857.38636364,
 RETIRO BAIXO,      318.88636364,      272.53409091,      234.04545455,      153.31818182,      106.34090909,       87.07954545,       70.64772727,       60.26136364,       58.40909091,       73.81818182,      127.20454545,      243.88636364,
 TRES MARIAS ,     1419.93181818,     1318.34090909,     1101.11363636,      726.48863636,      436.22727273,      329.05681818,      263.67045455,      214.93181818,      210.11363636,      285.97727273,      582.13636364,     1082.11363636,
 QUEIMADO    ,       79.62500000,       80.59090909,       84.51136364,       66.81818182,       46.22727273,       38.69318182,       33.62500000,       28.79545455,       26.38636364,       31.42045455,       49.65909091,       76.01136364,
 SOBRADINHO  ,     4532.75000000,     4750.65909091,     4570.34090909,     3625.76136364,     2191.96590909,     1500.69318182,     1253.62500000,     1085.78409091,      970.80681818,     1083.46590909,     1802.43181818,     3283.18181818,
 ITAPARICA   ,     4574.77272727,     4866.23863636,     4827.89772727,     3928.52272727,     2365.21590909,     1558.82954545,     1282.21590909,     1118.71590909,      999.89772727,     1078.19318182,     1731.54545455,     3227.96590909,
 MOXOTO      ,     4571.90909091,     4882.80681818,     4870.47727273,     3998.10227273,     2415.62500000,     1578.39772727,     1293.79545455,     1130.18181818,     1010.47727273,     1079.25000000,     1708.27272727,     3205.48863636,
 P.AFONSO 123,     4571.90909091,     4882.80681818,     4870.47727273,     3998.10227273,     2415.62500000,     1578.39772727,     1293.79545455,     1130.18181818,     1010.47727273,     1079.25000000,     1708.27272727,     3205.48863636,
 P.AFONSO 4  ,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,
 XINGO       ,     4570.76136364,     4882.90909091,     4870.81818182,     3997.55681818,     2416.42045455,     1578.40909091,     1293.86363636,     1130.21590909,     1010.51136364,     1078.94318182,     1708.05681818,     3203.84090909,
 TOCOS       ,       24.05681818,       24.23863636,       22.63636364,       17.62500000,       12.03409091,        8.90909091,        7.27272727,        6.17045455,        6.35227273,        7.72727273,       11.67045455,       17.96590909,
 SANTANA     ,       40.47727273,       40.76136364,       37.80681818,       29.50000000,       20.29545455,       14.94318182,       12.28409091,       10.50000000,       10.87500000,       13.17045455,       19.60227273,       29.97727273,
 VIGARIO     ,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,
 FONTES A    ,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,
 FONTES BC   ,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,        0.00000000,
 P. CAVALO   ,      157.39772727,      153.96590909,      152.23863636,      127.90909091,       77.80681818,       53.43181818,       53.61363636,       42.92045455,       29.32954545,       34.86363636,       92.47727273,      194.61363636,
 B. ESPERANCA,      640.50000000,      716.55681818,      758.15909091,      668.67045455,      433.23863636,      301.86363636,      260.51136364,      238.13636364,      232.72727273,      282.09090909,      392.10227273,      521.92045455,
 GUILMAN-AMOR,      147.97727273,      113.71590909,      102.84090909,       74.02272727,       55.52272727,       47.40909091,       41.67045455,       36.87500000,       37.09090909,       46.53409091,       77.29545455,      128.19318182,
 SA CARVALHO ,      161.55681818,      124.13636364,      112.13636364,       80.89772727,       60.63636364,       51.67045455,       45.48863636,       40.31818182,       40.44318182,       50.68181818,       84.23863636,      140.03409091,
 JAURU       ,       97.15909091,      101.61363636,      109.47727273,       95.37500000,       84.21590909,       78.56818182,       75.29545455,       71.75000000,       70.85227273,       74.46590909,       78.96590909,       87.13636364,
 GUAPORE     ,       35.51136364,       37.52272727,       39.30681818,       37.05681818,       33.93181818,       31.69318182,       30.36363636,       29.59090909,       29.39772727,       30.23863636,       31.40909091,       33.00000000,
 CORUMBA III ,      264.52272727,      290.17045455,      293.25000000,      231.42045455,      144.85227273,      106.40909091,       83.06818182,       65.51136364,       56.61363636,       73.86363636,      122.48863636,      197.00000000,
 CACH.CALDEIR,      527.52272727,     1000.36363636,     1520.26136364,     1878.43181818,     2010.44318182,     1580.97727273,     1170.45454545,      782.80681818,      454.68181818,      273.06818182,      194.63636364,      238.90909091,
