 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    6 ;   14 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     117.17 ;     103.74 ;
    6 ;   14 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     117.17 ;     103.74 ;
    6 ;   14 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     116.65 ;     103.74 ;
    6 ;   14 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     117.17 ;     151.42 ;
    6 ;   14 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     117.17 ;     151.42 ;
    6 ;   14 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     116.65 ;     151.42 ;
    6 ;   14 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     116.02 ;     229.69 ;
    6 ;   14 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     115.85 ;     229.69 ;
    6 ;   14 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     112.93 ;     229.69 ;
    6 ;   15 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     100.71 ;     103.74 ;
    6 ;   15 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     100.71 ;     103.74 ;
    6 ;   15 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     100.15 ;     103.74 ;
    6 ;   15 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     100.71 ;     151.42 ;
    6 ;   15 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     100.71 ;     151.42 ;
    6 ;   15 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     100.15 ;     151.42 ;
    6 ;   15 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      99.80 ;     229.69 ;
    6 ;   15 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      99.73 ;     229.69 ;
    6 ;   15 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      95.88 ;     229.69 ;
    6 ;   16 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     117.17 ;     103.74 ;
    6 ;   16 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     117.17 ;     103.74 ;
    6 ;   16 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     116.65 ;     103.74 ;
    6 ;   16 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     117.17 ;     151.42 ;
    6 ;   16 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     117.17 ;     151.42 ;
    6 ;   16 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     116.65 ;     151.42 ;
    6 ;   16 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     116.02 ;     229.69 ;
    6 ;   16 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     115.85 ;     229.69 ;
    6 ;   16 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     112.93 ;     229.69 ;
    6 ;   17 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      91.36 ;     103.74 ;
    6 ;   17 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      91.36 ;     103.74 ;
    6 ;   17 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      90.89 ;     103.74 ;
    6 ;   17 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      91.36 ;     151.42 ;
    6 ;   17 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      91.36 ;     151.42 ;
    6 ;   17 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      90.89 ;     151.42 ;
    6 ;   17 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      90.28 ;     229.69 ;
    6 ;   17 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      90.22 ;     229.69 ;
    6 ;   17 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      86.24 ;     229.69 ;
    6 ;   18 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     117.17 ;     103.74 ;
    6 ;   18 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     117.17 ;     103.74 ;
    6 ;   18 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     116.65 ;     103.74 ;
    6 ;   18 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     117.17 ;     151.42 ;
    6 ;   18 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     117.17 ;     151.42 ;
    6 ;   18 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     116.65 ;     151.42 ;
    6 ;   18 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     116.02 ;     229.69 ;
    6 ;   18 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     115.85 ;     229.69 ;
    6 ;   18 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     112.93 ;     229.69 ;
    6 ;   19 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      29.28 ;     103.74 ;
    6 ;   19 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      29.28 ;     103.74 ;
    6 ;   19 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      29.20 ;     103.74 ;
    6 ;   19 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      29.28 ;     151.42 ;
    6 ;   19 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      29.28 ;     151.42 ;
    6 ;   19 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      29.20 ;     151.42 ;
    6 ;   19 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      23.03 ;     229.69 ;
    6 ;   19 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      23.03 ;     229.69 ;
    6 ;   19 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      22.39 ;     229.69 ;
    6 ;   20 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     116.45 ;     103.74 ;
    6 ;   20 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     116.45 ;     103.74 ;
    6 ;   20 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     116.14 ;     103.74 ;
    6 ;   20 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     116.45 ;     151.42 ;
    6 ;   20 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     116.45 ;     151.42 ;
    6 ;   20 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     116.14 ;     151.42 ;
    6 ;   20 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     114.02 ;     229.69 ;
    6 ;   20 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     113.86 ;     229.69 ;
    6 ;   20 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     111.60 ;     229.69 ;
    6 ;   21 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      53.20 ;     103.74 ;
    6 ;   21 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      53.20 ;     103.74 ;
    6 ;   21 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      53.03 ;     103.74 ;
    6 ;   21 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      53.20 ;     151.42 ;
    6 ;   21 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      53.20 ;     151.42 ;
    6 ;   21 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      53.03 ;     151.42 ;
    6 ;   21 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      51.53 ;     229.69 ;
    6 ;   21 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      51.53 ;     229.69 ;
    6 ;   21 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      49.27 ;     229.69 ;
    6 ;   22 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      57.36 ;     103.74 ;
    6 ;   22 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      57.36 ;     103.74 ;
    6 ;   22 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      57.24 ;     103.74 ;
    6 ;   22 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      57.36 ;     151.42 ;
    6 ;   22 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      57.36 ;     151.42 ;
    6 ;   22 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      57.24 ;     151.42 ;
