-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    2 ;  -  ;   -    ;  4 ; N             ;     5772.6 ;    490.0 ;   650.50 ;     0.00 ; 16997.54 ;     0.00 ;     0.00 ;     0.00 ;  -12365.48 ;    -     ;    -     ;     0.00 ;   3364.8 ;       8095.52 ;    53.72 ;       9127.50 ;    60.56 ;    0.00 ;
   2 ;    2 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   1 ;  40.00 ;  1 ; SE            ;    49464.5 ;   3952.0 ;  3280.80 ;   393.00 ; 37334.05 ;    11.47 ;     0.00 ;     0.00 ;    6629.12 ;  2325.71 ;  6300.00 ;     0.00 ;  13332.3 ;      89381.29 ;    43.75 ;      92359.05 ;    45.20 ;  148.29 ;
   3 ;    3 ;   2 ;  46.00 ;  1 ; SE            ;    46480.8 ;   3952.0 ;  3282.80 ;   393.00 ; 34921.69 ;   115.60 ;     0.00 ;     0.00 ;    6111.91 ;  1900.00 ;  6773.71 ;     0.00 ;  13332.3 ;      89381.29 ;    43.75 ;      92359.05 ;    45.20 ;  147.52 ;
   3 ;    3 ;   3 ;  82.00 ;  1 ; SE            ;    37804.6 ;   3952.0 ;  3273.80 ;   393.00 ; 27169.32 ;   115.60 ;     0.00 ;     0.00 ;    4768.08 ;  1900.00 ;  4006.09 ;     0.00 ;  13332.3 ;      89381.29 ;    43.75 ;      92359.05 ;    45.20 ;  141.23 ;
   3 ;    3 ;  -  ;   -    ;  1 ; SE            ;    42956.4 ;   3952.0 ;  3277.93 ;   393.00 ; 31712.17 ;    90.81 ;     0.00 ;     0.00 ;    5579.14 ;  2001.36 ;  5310.06 ;     0.00 ;  13332.3 ;      89381.29 ;    43.75 ;      92359.05 ;    45.20 ;  144.63 ;
   3 ;    3 ;   1 ;  40.00 ;  2 ; S             ;    16438.4 ;   1773.0 ;  1066.93 ;     0.00 ;  3098.47 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    306.4 ;       4968.89 ;    24.97 ;       4938.35 ;    24.82 ;  235.35 ;
   3 ;    3 ;   2 ;  46.00 ;  2 ; S             ;    14575.3 ;   1773.0 ;   665.00 ;     0.00 ;  1637.70 ;     0.00 ;     0.00 ;     0.00 ;   10499.60 ;    -     ;    -     ;     0.00 ;    306.4 ;       4968.89 ;    24.97 ;       4938.35 ;    24.82 ;  147.52 ;
   3 ;    3 ;   3 ;  82.00 ;  2 ; S             ;    11329.5 ;   1773.0 ;   665.00 ;     0.00 ;  1266.01 ;     0.00 ;     0.00 ;     0.00 ;    7625.49 ;    -     ;    -     ;     0.00 ;    306.4 ;       4968.89 ;    24.97 ;       4938.35 ;    24.82 ;  141.23 ;
   3 ;    3 ;  -  ;   -    ;  2 ; S             ;    13434.6 ;   1773.0 ;   760.70 ;     0.00 ;  1804.08 ;     0.00 ;     0.00 ;     0.00 ;    9096.86 ;    -     ;    -     ;     0.00 ;    306.4 ;       4968.89 ;    24.97 ;       4938.35 ;    24.82 ;  165.36 ;
   3 ;    3 ;   1 ;  40.00 ;  3 ; NE            ;    13096.4 ;   4382.0 ;  1668.10 ;     0.00 ;  4875.42 ;     0.00 ;     0.00 ;     0.00 ;    2170.88 ;    -     ;    -     ;     0.00 ;   2010.8 ;      31230.22 ;    60.52 ;      33153.94 ;    64.24 ;  148.29 ;
