-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    2 ;   3 ;  82.00 ;  3 ; NE            ;    11040.1 ;   4382.0 ;   399.20 ;     0.00 ;  2185.90 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   1925.6 ;      30417.07 ;    58.94 ;      31182.47 ;    60.42 ;  115.43 ;
   2 ;    2 ;  -  ;   -    ;  3 ; NE            ;    12012.9 ;   4382.0 ;   399.20 ;     0.00 ;  2910.99 ;     0.00 ;     0.00 ;     0.00 ;    4320.70 ;    -     ;    -     ;     0.00 ;   1925.6 ;      30417.07 ;    58.94 ;      31182.47 ;    60.42 ;  116.08 ;
   2 ;    2 ;   1 ;  40.00 ;  4 ; N             ;     6070.1 ;    490.0 ;   650.50 ;     0.00 ; 17929.60 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3400.8 ;       8132.29 ;    53.96 ;       9205.72 ;    61.08 ;    0.00 ;
   2 ;    2 ;   2 ;  46.00 ;  4 ; N             ;     6024.5 ;    490.0 ;   650.50 ;     0.00 ; 17884.00 ;     0.00 ;     0.00 ;     0.00 ;  -13000.00 ;    -     ;    -     ;     0.00 ;   3400.8 ;       8132.29 ;    53.96 ;       9205.72 ;    61.08 ;    0.00 ;
   2 ;    2 ;   3 ;  82.00 ;  4 ; N             ;     5486.1 ;    490.0 ;   650.50 ;     0.00 ; 16045.60 ;     0.00 ;     0.00 ;     0.00 ;  -11700.00 ;    -     ;    -     ;     0.00 ;   3400.8 ;       8132.29 ;    53.96 ;       9205.72 ;    61.08 ;    0.00 ;
   2 ;    2 ;  -  ;   -    ;  4 ; N             ;     5772.6 ;    490.0 ;   650.50 ;     0.00 ; 16997.54 ;     0.00 ;     0.00 ;     0.00 ;  -12365.48 ;    -     ;    -     ;     0.00 ;   3400.8 ;       8132.29 ;    53.96 ;       9205.72 ;    61.08 ;    0.00 ;
   2 ;    2 ;   1 ;  40.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;   2 ;  46.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;   3 ;  82.00 ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   2 ;    2 ;  -  ;   -    ; 11 ; FC            ;        0.0 ;      0.0 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;     0.00 ;       0.00 ;    -     ;    -     ;     0.00 ;    -     ;       -       ;    -     ;       -       ;    -     ;    0.00 ;
   3 ;    3 ;   1 ;  40.00 ;  1 ; SE            ;    49464.5 ;   3952.0 ;  3242.70 ;   393.00 ; 39417.51 ;     1.92 ;     0.00 ;     0.00 ;    4574.21 ;  3558.88 ;  6300.00 ;     0.00 ;  16403.3 ;      93235.85 ;    45.63 ;      99418.29 ;    48.66 ;  114.47 ;
   3 ;    3 ;   2 ;  46.00 ;  1 ; SE            ;    46480.8 ;   3952.0 ;  3244.70 ;   393.00 ; 36125.77 ;   114.65 ;     0.00 ;     0.00 ;    4944.98 ;  1900.00 ;  6773.71 ;     0.00 ;  16403.3 ;      93235.85 ;    45.63 ;      99418.29 ;    48.66 ;  113.26 ;
   3 ;    3 ;   3 ;  82.00 ;  1 ; SE            ;    37804.6 ;   3952.0 ;  3235.70 ;   393.00 ; 27130.37 ;   115.60 ;     0.00 ;     0.00 ;    4845.13 ;  1900.00 ;  4585.18 ;     0.00 ;  16403.3 ;      93235.85 ;    45.63 ;      99418.29 ;    48.66 ;  107.58 ;
   3 ;    3 ;  -  ;   -    ;  1 ; SE            ;    42956.4 ;   3952.0 ;  3239.83 ;   393.00 ; 32518.91 ;    88.27 ;     0.00 ;     0.00 ;    4807.96 ;  2294.97 ;  5592.71 ;     0.00 ;  16403.3 ;      93235.85 ;    45.63 ;      99418.29 ;    48.66 ;  110.78 ;
