 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    6 ;   12 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      86.82 ;     151.42 ;
    6 ;   12 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      86.82 ;     151.42 ;
    6 ;   12 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      86.57 ;     151.42 ;
    6 ;   12 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      86.65 ;     229.69 ;
    6 ;   12 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      86.63 ;     229.69 ;
    6 ;   12 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      85.52 ;     229.69 ;
    6 ;   13 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      34.14 ;     103.74 ;
    6 ;   13 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      34.14 ;     103.74 ;
    6 ;   13 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      34.08 ;     103.74 ;
    6 ;   13 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      34.14 ;     151.42 ;
    6 ;   13 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      34.14 ;     151.42 ;
    6 ;   13 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      34.08 ;     151.42 ;
    6 ;   13 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      33.04 ;     229.69 ;
    6 ;   13 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      33.04 ;     229.69 ;
    6 ;   13 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      31.81 ;     229.69 ;
    6 ;   14 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      86.82 ;     103.74 ;
    6 ;   14 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      86.82 ;     103.74 ;
    6 ;   14 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      86.57 ;     103.74 ;
    6 ;   14 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      86.82 ;     151.42 ;
    6 ;   14 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      86.82 ;     151.42 ;
    6 ;   14 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      86.57 ;     151.42 ;
    6 ;   14 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      86.65 ;     229.69 ;
    6 ;   14 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      86.63 ;     229.69 ;
    6 ;   14 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      85.52 ;     229.69 ;
    6 ;   15 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      60.66 ;     103.74 ;
    6 ;   15 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      60.66 ;     103.74 ;
    6 ;   15 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      60.46 ;     103.74 ;
    6 ;   15 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      60.66 ;     151.42 ;
    6 ;   15 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      60.66 ;     151.42 ;
    6 ;   15 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      60.46 ;     151.42 ;
    6 ;   15 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      60.03 ;     229.69 ;
    6 ;   15 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      60.03 ;     229.69 ;
    6 ;   15 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      58.57 ;     229.69 ;
    6 ;   16 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      65.21 ;     103.74 ;
    6 ;   16 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      65.21 ;     103.74 ;
    6 ;   16 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      64.96 ;     103.74 ;
    6 ;   16 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      65.21 ;     151.42 ;
    6 ;   16 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      65.21 ;     151.42 ;
    6 ;   16 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      64.96 ;     151.42 ;
    6 ;   16 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      65.13 ;     229.69 ;
    6 ;   16 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      65.13 ;     229.69 ;
    6 ;   16 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      64.39 ;     229.69 ;
    6 ;   17 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      65.23 ;     103.74 ;
    6 ;   17 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      65.23 ;     103.74 ;
    6 ;   17 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      65.10 ;     103.74 ;
    6 ;   17 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      65.23 ;     151.42 ;
    6 ;   17 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      65.23 ;     151.42 ;
    6 ;   17 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      65.10 ;     151.42 ;
    6 ;   17 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      64.79 ;     229.69 ;
