-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   3 ;    3 ;   1 ;  40.00 ;  1 ; SE            ;    49464.5 ;   3952.0 ;  2662.70 ;   393.00 ; 38619.12 ;    14.60 ;     0.00 ;     0.00 ;    5965.28 ;  4000.00 ;  6300.00 ;     0.00 ;  18755.6 ;     101888.43 ;    49.87 ;     110139.60 ;    53.90 ;    2.05 ;
   3 ;    3 ;   2 ;  46.00 ;  1 ; SE            ;    46480.8 ;   3952.0 ;  2663.70 ;   393.00 ; 35853.74 ;   115.60 ;     0.00 ;     0.00 ;    5798.96 ;  4214.96 ;  7000.00 ;     0.00 ;  18755.6 ;     101888.43 ;    49.87 ;     110139.60 ;    53.90 ;    1.93 ;
   3 ;    3 ;   3 ;  82.00 ;  1 ; SE            ;    37804.6 ;   3952.0 ;  2656.70 ;   393.00 ; 25813.00 ;   115.60 ;     0.00 ;     0.00 ;    6741.50 ;  1900.00 ;  6417.82 ;     0.00 ;  18755.6 ;     101888.43 ;    49.87 ;     110139.60 ;    53.90 ;    1.49 ;
   3 ;    3 ;  -  ;   -    ;  1 ; SE            ;    42956.4 ;   3952.0 ;  2660.05 ;   393.00 ; 31611.33 ;    91.55 ;     0.00 ;     0.00 ;    6298.61 ;  3033.86 ;  6549.17 ;     0.00 ;  18755.6 ;     101888.43 ;    49.87 ;     110139.60 ;    53.90 ;    1.74 ;
   3 ;    3 ;   1 ;  40.00 ;  2 ; S             ;    16438.4 ;   1773.0 ;   482.00 ;     0.00 ;  5747.68 ;     0.00 ;     0.00 ;     0.00 ;    8435.72 ;    -     ;    -     ;     0.00 ;   1404.8 ;       6650.92 ;    33.43 ;       7432.36 ;    37.35 ;    2.05 ;
   3 ;    3 ;   2 ;  46.00 ;  2 ; S             ;    14575.3 ;   1773.0 ;   482.00 ;     0.00 ;  2852.26 ;     0.00 ;     0.00 ;     0.00 ;    9468.04 ;    -     ;    -     ;     0.00 ;   1404.8 ;       6650.92 ;    33.43 ;       7432.36 ;    37.35 ;    1.93 ;
   3 ;    3 ;   3 ;  82.00 ;  2 ; S             ;    11329.5 ;   1773.0 ;   482.00 ;     0.00 ;  1771.18 ;     0.00 ;     0.00 ;     0.00 ;    7303.32 ;    -     ;    -     ;     0.00 ;   1404.8 ;       6650.92 ;    33.43 ;       7432.36 ;    37.35 ;    1.49 ;
   3 ;    3 ;  -  ;   -    ;  2 ; S             ;    13434.6 ;   1773.0 ;   482.00 ;     0.00 ;  3013.98 ;     0.00 ;     0.00 ;     0.00 ;    8165.66 ;    -     ;    -     ;     0.00 ;   1404.8 ;       6650.92 ;    33.43 ;       7432.36 ;    37.35 ;    1.74 ;
   3 ;    3 ;   1 ;  40.00 ;  3 ; NE            ;    13096.4 ;   4382.0 ;   399.20 ;     0.00 ;  3416.20 ;     0.00 ;     0.00 ;     0.00 ;    4899.00 ;    -     ;    -     ;     0.00 ;   2254.5 ;      31362.25 ;    60.77 ;      33656.97 ;    65.22 ;   43.64 ;
   3 ;    3 ;   2 ;  46.00 ;  3 ; NE            ;    12671.3 ;   4382.0 ;   399.20 ;     0.00 ;  3157.10 ;     0.00 ;     0.00 ;     0.00 ;    4733.00 ;    -     ;    -     ;     0.00 ;   2254.5 ;      31362.25 ;    60.77 ;      33656.97 ;    65.22 ;   43.64 ;
