 
 Relatorio dos beneficios  da geracao das usinas a GNL
 
------;------;------;------;------;--------------;------;------------;------------;
      ;      ;      ;      ;      ;              ;      ; Benef_GNL  ;    Custo   ;
 PER  ; CEN  ; SIS  ;  K   ;  Num ;     Usina    ; PAT  ; (R$/MW.H)  ;    (MW.H)   ;
------;------;------;------;------;--------------;------;------------;------------;
    6 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      47.81 ;     103.74 ;
    6 ;    8 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      47.58 ;     103.74 ;
    6 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      47.81 ;     151.42 ;
    6 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      47.81 ;     151.42 ;
    6 ;    8 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      47.58 ;     151.42 ;
    6 ;    8 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      47.64 ;     229.69 ;
    6 ;    8 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      47.64 ;     229.69 ;
    6 ;    8 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      46.09 ;     229.69 ;
    6 ;    9 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     105.13 ;     103.74 ;
    6 ;    9 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     105.13 ;     103.74 ;
    6 ;    9 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     104.89 ;     103.74 ;
    6 ;    9 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     105.13 ;     151.42 ;
    6 ;    9 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     105.13 ;     151.42 ;
    6 ;    9 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     104.89 ;     151.42 ;
    6 ;    9 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     104.91 ;     229.69 ;
    6 ;    9 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     104.88 ;     229.69 ;
    6 ;    9 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     103.58 ;     229.69 ;
    6 ;   10 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     112.30 ;     103.74 ;
    6 ;   10 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     112.30 ;     103.74 ;
    6 ;   10 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     112.09 ;     103.74 ;
    6 ;   10 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     112.30 ;     151.42 ;
    6 ;   10 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;     112.30 ;     151.42 ;
    6 ;   10 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;     112.09 ;     151.42 ;
    6 ;   10 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;     112.05 ;     229.69 ;
    6 ;   10 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;     112.00 ;     229.69 ;
    6 ;   10 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;     110.57 ;     229.69 ;
    6 ;   11 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;      67.43 ;     103.74 ;
    6 ;   11 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;      67.43 ;     103.74 ;
    6 ;   11 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;      67.29 ;     103.74 ;
    6 ;   11 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;      67.43 ;     151.42 ;
    6 ;   11 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  2   ;      67.43 ;     151.42 ;
    6 ;   11 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  3   ;      67.29 ;     151.42 ;
    6 ;   11 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  1   ;      66.79 ;     229.69 ;
    6 ;   11 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  2   ;      66.79 ;     229.69 ;
    6 ;   11 ;   3  ;  2   ; 224  ; PSERGIPE I   ;  3   ;      65.66 ;     229.69 ;
    6 ;   12 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  1   ;     143.93 ;     103.74 ;
    6 ;   12 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  2   ;     143.93 ;     103.74 ;
    6 ;   12 ;   1  ;  2   ;  86  ; SANTA CRUZ   ;  3   ;     143.82 ;     103.74 ;
    6 ;   12 ;   1  ;  2   ;  15  ; LUIZORMELO   ;  1   ;     143.93 ;     151.42 ;
