-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
IPER ; ICEN ;IPAT ;  Dur   ;SIST;   Nome Sist   ;  Demanda   ;  GerPeq  ;   Gter   ;  GterAT  ;   Ghid   ;  Cbomb   ;  Compra  ;  Venda   ; IntercLiq  ; Itaipu50 ; Itaipu60 ; Deficit  ;   ENA    ;   EarmInic    ;EarmInic% ;    EarmFim    ; EarmFim% ;   CMO   ;
  -  ;  -   ;  -  ;  (h)   ; -  ;       -       ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;   (MW)   ;    (MW)    ;   (MW)   ;   (MW)   ;   (MW)   ; (MWmes)  ;    (MWmes)    ;   (%)    ;    (MWmes)    ;   (%)    ; ($/MWh) ;
-----;------;-----;--------;----;---------------;------------;----------;----------;----------;----------;----------;----------;----------;------------;----------;----------;----------;----------;---------------;----------;---------------;----------;---------;
   2 ;    2 ;   1 ;  40.00 ;  1 ; SE            ;    50123.4 ;   3952.0 ;  3280.80 ;   393.00 ; 38261.99 ;    10.63 ;     0.00 ;     0.00 ;    6359.24 ;  2160.27 ;  6300.00 ;     0.00 ;  13949.0 ;      87965.40 ;    43.05 ;      91412.06 ;    44.74 ;  130.22 ;
   2 ;    2 ;   2 ;  46.00 ;  1 ; SE            ;    47100.0 ;   3952.0 ;  3282.80 ;   393.00 ; 36437.30 ;   115.60 ;     0.00 ;     0.00 ;    5215.50 ;  1900.00 ;  6608.27 ;     0.00 ;  13949.0 ;      87965.40 ;    43.05 ;      91412.06 ;    44.74 ;  129.37 ;
   2 ;    2 ;   3 ;  82.00 ;  1 ; SE            ;    38308.2 ;   3952.0 ;  3273.80 ;   393.00 ; 29068.14 ;   115.60 ;     0.00 ;     0.00 ;    3372.86 ;  1900.00 ;  3833.41 ;     0.00 ;  13949.0 ;      87965.40 ;    43.05 ;      91412.06 ;    44.74 ;  123.83 ;
   2 ;    2 ;  -  ;   -    ;  1 ; SE            ;    43528.6 ;   3952.0 ;  3277.93 ;   393.00 ; 33274.90 ;    90.61 ;     0.00 ;     0.00 ;    4588.43 ;  1961.97 ;  5180.48 ;     0.00 ;  13949.0 ;      87965.40 ;    43.05 ;      91412.06 ;    44.74 ;  126.87 ;
   2 ;    2 ;   1 ;  40.00 ;  2 ; S             ;    17100.8 ;   1773.0 ;   665.00 ;     0.00 ;  4162.80 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    347.9 ;       4783.76 ;    24.04 ;       4703.68 ;    23.64 ;  148.23 ;
   2 ;    2 ;   2 ;  46.00 ;  2 ; S             ;    15162.6 ;   1773.0 ;   665.00 ;     0.00 ;  2224.60 ;     0.00 ;     0.00 ;     0.00 ;   10500.00 ;    -     ;    -     ;     0.00 ;    347.9 ;       4783.76 ;    24.04 ;       4703.68 ;    23.64 ;  145.03 ;
   2 ;    2 ;   3 ;  82.00 ;  2 ; S             ;    11786.0 ;   1773.0 ;   665.00 ;     0.00 ;  1260.45 ;     0.00 ;     0.00 ;     0.00 ;    8087.55 ;    -     ;    -     ;     0.00 ;    347.9 ;       4783.76 ;    24.04 ;       4703.68 ;    23.64 ;  123.83 ;
   2 ;    2 ;  -  ;   -    ;  2 ; S             ;    13976.0 ;   1773.0 ;   665.00 ;     0.00 ;  2215.48 ;     0.00 ;     0.00 ;     0.00 ;    9322.50 ;    -     ;    -     ;     0.00 ;    347.9 ;       4783.76 ;    24.04 ;       4703.68 ;    23.64 ;  135.44 ;
   2 ;    2 ;   1 ;  40.00 ;  3 ; NE            ;    13169.1 ;   4382.0 ;  1303.10 ;     0.00 ;  5043.24 ;     0.00 ;     0.00 ;     0.00 ;    2440.76 ;    -     ;    -     ;     0.00 ;   1920.5 ;      30388.12 ;    58.89 ;      31121.53 ;    60.31 ;  130.22 ;
   2 ;    2 ;   2 ;  46.00 ;  3 ; NE            ;    12741.6 ;   4382.0 ;  1303.10 ;     0.00 ;  3163.73 ;     0.00 ;     0.00 ;     0.00 ;    3892.77 ;    -     ;    -     ;     0.00 ;   1920.5 ;      30388.12 ;    58.89 ;      31121.53 ;    60.31 ;  129.37 ;
   2 ;    2 ;   3 ;  82.00 ;  3 ; NE            ;    11040.1 ;   4382.0 ;  1073.25 ;     0.00 ;  1511.85 ;     0.00 ;     0.00 ;     0.00 ;    4073.00 ;    -     ;    -     ;     0.00 ;   1920.5 ;      30388.12 ;    58.89 ;      31121.53 ;    60.31 ;  125.33 ;
   2 ;    2 ;  -  ;   -    ;  3 ; NE            ;    12012.9 ;   4382.0 ;  1190.91 ;     0.00 ;  2804.96 ;     0.00 ;     0.00 ;     0.00 ;    3635.02 ;    -     ;    -     ;     0.00 ;   1920.5 ;      30388.12 ;    58.89 ;      31121.53 ;    60.31 ;  127.60 ;
